CompanyName,CompanyCode,Arrivals,NoOfNights,Adults,Children,RoomRev,FBRev,OtherRev,TotalRev,AvgLeadTime,AvgStayLength,ADR,ATR,LostNights,LostRev
ABC GLOBAL SERVICES,00385140,2,11,3,0,951.78,0.00,77.77,1029.55,0.00,5.50,86.53,93.60,1,76.50
GETAROOM.COM (DS),01642160,3,5,5,0,365.50,0.00,14.70,380.20,1.00,1.67,73.10,76.04,3,210.98
HALLIBURTON (PREFERRED),01168270,1,2,2,0,164.05,0.00,14.67,178.72,0.00,2.00,82.03,89.36,0,0.00
LEXYL TRAVEL TECHNOLOGIES,01657620,2,2,4,2,152.15,0.00,13.89,166.04,-1.00,1.00,76.08,83.02,0,0.00
SNAP-ON INCORPORATED,01289350,1,1,1,0,64.80,0.00,2.00,66.80,0.00,1.00,64.80,66.80,0,0.00
BNSF RAILWAY (PREFERRED),01248190,1,4,1,0,297.27,0.00,8.00,305.27,4.00,4.00,74.32,76.32,0,0.00
TRIP.COM,01605480,1,1,2,0,109.65,0.00,9.13,118.78,-1.00,1.00,109.65,118.78,0,0.00
CORPORATE TRAVEL MANAGEMENT (C,01685510,1,17,1,0,1368.50,0.00,34.00,1402.50,3.00,17.00,80.50,82.50,0,0.00
CLC LODGING II,01711610,28,68,38,0,4923.30,0.00,426.24,5349.54,4.00,2.43,72.40,78.67,4,357.00
DIRECT TRAVEL,01693090,3,3,3,0,243.00,0.00,21.81,264.81,0.00,1.00,81.00,88.27,0,0.00
SCHNEIDER (TRUCKING COMPANY),01224560,7,7,7,0,499.77,0.00,46.48,546.25,0.00,1.00,71.40,78.04,0,0.00
(EPS) EXPEDIA PARTNER SOLUTION,01796740,2,5,3,0,337.70,0.00,35.00,372.70,14.00,2.50,67.54,74.54,0,0.00
AMERICAN EXPRESS GBT GHP,01757940,1,2,1,0,161.50,0.00,4.00,165.50,11.00,2.00,80.75,82.75,0,0.00
W2M TRAVEL DMCC,01740910,2,4,4,0,268.50,0.00,16.28,284.78,0.00,2.00,67.13,71.20,0,0.00
LODGELINK,01713820,1,4,1,0,277.68,0.00,26.04,303.72,0.00,4.00,69.42,75.93,0,0.00
NAVAN LODGING COLLECTION,01735800,1,1,1,0,76.50,0.00,2.00,78.50,-1.00,1.00,76.50,78.50,0,0.00
Hotel Tonight,01576500,1,1,2,0,72.25,0.00,6.70,78.95,0.00,1.00,72.25,78.95,0,0.00
HONEYWELL INC (PREFERRED),00106800,1,2,1,0,141.00,0.00,13.18,154.18,7.00,2.00,70.50,77.09,0,0.00
FASTPAYHOTELS (DS),01812360,1,2,4,0,146.25,0.00,13.51,159.76,14.00,2.00,73.13,79.88,0,0.00
ROIBOS TECHNOLOGIES SL,01819070,1,1,2,0,66.75,0.00,6.34,73.09,5.00,1.00,66.75,73.09,0,0.00
(EPS) EXPEDIA PARTNER SOLUTION,01846610,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,85.00
ESCALABEDS GROUP LLC,01791190,1,1,2,0,63.75,0.00,6.14,69.89,0.00,1.00,63.75,69.89,0,0.00
ROCKET TRAVEL,01851320,2,2,3,0,135.00,0.00,4.00,139.00,47.00,2.00,67.50,69.50,0,0.00
HOTEL ENGINE SUPPLEMENTAL,01851260,5,5,7,0,333.41,0.00,31.69,365.10,0.00,1.00,66.68,73.02,0,0.00
BREAKFAST PLUS,01859980,1,2,1,0,156.60,0.00,14.18,170.78,0.00,2.00,78.30,85.39,0,0.00
"HOTELBEDS USA, INC",01861670,18,26,33,0,1601.36,0.00,131.77,1733.13,16.00,1.44,61.59,66.66,0,0.00
TEK TRAVELS DMCC DBA TBO (DG),01864020,5,5,9,0,356.50,0.00,33.18,389.68,0.00,1.00,71.30,77.94,0,0.00
HP TURIZM VE TICARET ANONIM SI,01835960,1,3,2,0,200.25,0.00,19.02,219.27,142.00,3.00,66.75,73.09,0,0.00
HOPPER (USA) INC. (DG/HPCT),01856310,5,11,8,0,745.31,0.00,42.47,787.78,3.00,2.20,67.76,71.62,2,137.25
NUITEE TRAVEL LIMITED (DERBY),01872150,2,2,3,0,148.50,0.00,8.83,157.33,0.00,1.00,74.25,78.67,0,0.00
FEDROOMS,01357930,1,3,1,0,253.65,0.00,22.50,276.15,19.00,3.00,84.55,92.05,0,0.00
